,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,nutrient_score
21,시작,B(우유제외)당근스프,B우유(150ml),B포도(100g),S복숭아(황도)-60g,S사과(50g),찰현미밥(63),부추맑은국,삼치카레구이,새우청경채볶음,나박김치,S크랜베리찹쌀케이크,S우유(100ml),찰현미밥(63),가지냉국,유부맛살숙주무침,멸치피망볶음,단무지,종료,12
22,시작,B닭백숙,B요구르트,B사과(35g),S멜론(50g),S복숭아(천도)-60g,흑미밥(55),유부장국,두부톳무침,미역줄기채소볶음,배추김치,S증편(40g),S매실쥬스,흑미밥(63),동태살무국,떡갈비간장조림,브로콜리무침,배추김치,종료,12
23,시작,B도너츠,B요구르트,B복숭아(80g),S사과(35g),S복숭아(천도)-80g,찹쌀밥(63),매콤애호박국,오징어불고기,참치양파볶음,단배추물김치,S새우크림소스볶음,S보리차,찹쌀밥(63),다슬기아욱국,옥수수채소튀김,해초볶음,열무김치,종료,14
24,시작,B으깬견과류고구마샐러드(요거트),B두유(150ml),B멜론(75g),S사과(35g),S복숭아(천도)-60g,차조밥(55),동태살무국,삼치무조림,브로콜리무침,배추김치,S잣죽,S둥글레차,차조밥(55),쑥갓어묵탕,참치어묵조림,양배추무침,배추김치,종료,12
25,시작,B소고기스프,B(우유제외)바나나쉐이크,B사과(50g),S멜론(50g),S복숭아(천도)-80g,김치햄볶음밥,얼갈이맑은국,양배추맛살나물,해초볶음,열무물김치,S슈크림빵,S코코아,검정콩밥(55),대구지리,매콤오징어볶음,건취나물간장볶음,나박김치,종료,15
26,시작,B으깬견과류고구마샐러드(요거트),B(우유제외)수제바나나두유,B복숭아(80g),S멜론(50g),S블루베리(50g),파프리카유부초밥,오징어숙주국,칠리새우,애호박새우젓볶음,배추김치,S크림떡볶이,S보리차,차조밥(63),동태살무국,소고기채소조림,얼갈이나물,나박김치,종료,13
27,시작,B소고기미역죽,B검은깨두유(200ml),B참외(50g),S복숭아(천도)-60g,S멜론(50g),찹쌀현미밥(63),동태살무국,매콤낙지채소볶음,브로콜리무침,오이소박이김치,S크림떡볶이,S보리차,찹쌀현미밥(55),팽이장국,오리훈제구이,새싹채소샐러드,배추김치,종료,13
28,시작,B참깨우유스프,B요구르트,B복숭아(백도)-80g,S사과(35g),S멜론(50g),잡곡밥(55),동태살국,고구마연근맛탕,진미채초무침,깍두기,S찐빵,S매실쥬스,잡곡밥(55),잘게썬오징어무국,매콤주꾸미볶음,브로콜리무침,열무물김치,종료,12
29,시작,B치즈,B복숭아호두스무디,B멜론(50g),S멜론(50g),S사과(35g),찰현미밥(63),차돌얼갈이국,소면채소무침,감자당근채볶음,열무물김치,S(우유제외)토마토스파게티,S둥글레차,찰현미밥(63),닭고기채소찌개,(저염)갈치조림,애호박건새우볶음,총각김치,종료,14
30,시작,B치즈게살죽,B두유(100ml),B사과(35g),S사과(35g),S복숭아(60g),옥수수밥(63),쑥국,으깬두부채소전,건파래자반,비트초절이,S(우유제외)토마토스파게티,S보리차,옥수수밥(63),동태살무국,수제비샐러드,참치양파볶음,배추김치,종료,13
31,시작,B새우크림소스볶음,B요구르트,B복숭아(황도)-80g,S사과(100g),S복숭아(황도)-80g,율무밥(55),미니우동,안매운김치전,애호박건새우볶음,열무물김치,S(우유제외)토마토스파게티,S둥글레차,율무밥(55),차돌얼갈이국,골뱅이무침,애호박볶음,단배추물김치,종료,14
32,시작,B치즈죽,B떠먹는요구르트(100ml),B복숭아(천도)-60g,S사과(35g),S멜론(50g),팥밥(55),안매운닭개장,온두부찜,맛살양상추샐러드,나박김치,S슈크림빵,S우유(100ml),팥밥(55),오징어숙주국,으깬두부채소전,건취나물간장볶음,오이소박이김치,종료,14
33,시작,B모닝빵+딸기잼,B(우유제외)수제바나나두유,B복숭아(황도)-60g,S복숭아(황도)-80g,S견과류,완두콩밥(55),건새우된장국,매콤오징어볶음,진미채초무침,나박김치,S(우유제외)알리오올리오스파게티,S둥글레차,완두콩밥(55),팽이장국,오리훈제채소구이,참치양파볶음,배추김치,종료,14
34,시작,B치즈죽,B두유(100ml),B사과(100g),S사과(35g),S참외(100g),찹쌀보리밥(55),팽이장국,오징어굴소스볶음,감자당근채볶음,열무물김치,S건포도감자볼,S우유(200ml),찹쌀보리밥(55),양파오징어국,소면채소무침,(우유제외)연근사과샐러드,단무지무침,종료,13
35,시작,B안매운김치볶음밥,B두유(150ml),B블루베리(50g),S참외(50g),S복숭아(백도)-80g,찹쌀팥밥(63),조갯살된장찌개,(저염)갈치조림,파래무침,배추김치,S매실젤리,S검은깨두유(200ml),고구마밥(55),애호박새우젓국,소고기김무침,쑥갓나물무침,파김치,종료,13
36,시작,B닭가슴살채소죽,B우유(150ml),B사과(75g),S땅콩,S바나나(100g),잡곡밥(55),참치김치찌개,매콤낙지채소볶음,실곤약간장채소무침,비트초절이,S쌀음료,S둥글레차,잡곡밥(55),두부탕국,북어볶음,동초무침,석박지,종료,15
37,시작,B으깬견과류고구마샐러드(요거트),B고칼슘두유(190ml),B블루베리고구마샐러드,S복숭아(천도)-60g,S멜론(50g),찰현미밥(55),실파장국,참치어묵조림,감자당근채볶음,나박김치,S애플파이,S둥글레차,차조밥(55),얼갈이배추국,새우버터구이,건취나물간장볶음,비트초절이,종료,12
38,시작,B단호박튀김,B호두우유,B복숭아(황도)-80g,S참외(100g),S키위(100g),찹쌀보리밥(55),김치유부맑은국,대구구이,김무침,비트초절이,S닭가슴살채소죽,S매실쥬스,찹쌀보리밥(55),건새우감자국,파돼지불고기,청경채느타리무침,동치미,종료,12
39,시작,B찐옥수수,B두유(100ml),B복숭아(천도)-60g,S사과(35g),S복숭아(황도)-60g,찹쌀팥밥(55),차돌얼갈이국,고구마연근맛탕,진미채초무침,열무물김치,S우동,S식혜,찹쌀팥밥(55),동태맑은국,양배추맛살나물,감자당근채볶음,비트초절이,종료,12
40,시작,B으깬견과류고구마샐러드(요거트),B바나나쉐이크,B복숭아(천도)-60g,S사과(50g),S멜론(100g),찹쌀현미밥(55),얼갈이배추국,오리훈제구이,고구마순된장무침,배추김치,S크림떡볶이,S보리차,찹쌀현미밥(55),유부된장국,양배추낙지볶음,채소샐러드,나박김치,종료,15
41,시작,B으깬견과류고구마샐러드(요거트),B요구르트,B멜론(50g),S사과(35g),S블루베리고구마샐러드,기장밥(55),쑥갓어묵국,소고기채소조림,브로콜리무침,석박지,S(우유제외)옥수수버터구이,S떠먹는요구르트(100ml),기장밥(55),멸치장국,(저염)닭가슴살데리야끼조림,참치피망볶음,열무김치,종료,14
42,시작,B소고기스프,B복숭아호두스무디,B멜론(50g),S복숭아(60g),S참외(50g),흑미밥(63),다슬기된장국,소고기당면불고기,땅콩우엉무침,단배추물김치,S시금치견과류주먹밥,S보리차,흑미밥(63),온청포묵국,오리훈제구이,무미역생채,열무물김치,종료,15
43,시작,B버섯장국죽,B고구마쉐이크,B복숭아(60g),S복숭아(천도)-60g,S사과(75g),잡곡밥(55),맑은양배추국,새우버터구이,양배추무침,나박김치,S멸치주먹밥,S매실쥬스,잡곡밥(55),쑥갓맑은국,매콤주꾸미볶음,양배추무침,비트초절이,종료,14
44,시작,B(우유제외)단호박크림스프,B고구마쉐이크,B복숭아(60g),S복숭아(60g),S참외(50g),잡곡밥(63),실파장국,닭가슴살부추무침,브로콜리무침,나박김치,S고로케,S보리차,잡곡밥(63),동태살국,삼치무조림,진미채초무침,비트초절이,종료,13
45,시작,B(우유제외)단호박크림스프,B(우유제외)수제바나나두유,B복숭아(60g),S복숭아(60g),S사과(35g),현미밥(55),유부양파국,삼치무조림,건새우볶음,석박지,S으깬견과류고구마샐러드(요거트),S매실쥬스,현미밥(55),소고기탕국,채소옥수수튀김,얼갈이나물,동치미,종료,15
46,시작,B으깬견과류고구마샐러드(요거트),B(우유제외)두유미숫가루,B복숭아(60g),S당근스틱,S복숭아(천도)-80g,잡곡밥(63),유부쑥갓맑은국,(저염)갈치조림,애호박볶음,오이소박이김치,S멸치주먹밥,S보리차,잡곡밥(63),동태살무국,으깬두부채소전,건취나물간장볶음,배추김치,종료,15
47,시작,B으깬견과류고구마샐러드(요거트),B두유(100ml),B복숭아(천도)-60g,S복숭아(천도)-60g,S땅콩,감자밥(63),동태살무국,닭피망볶음,브로콜리무침,오이소박이김치,S(우유제외)토마토스파게티,S우유(200ml),감자밥(63),오징어숙주국,매콤낙지채소볶음,미나리사과무침,배추김치,종료,12
48,시작,B으깬견과류고구마샐러드(요거트),B두유(150ml),B참외(50g),S블루베리(50g),S사과(35g),수수밥(63),얼갈이배추국,매콤낙지채소볶음,감자당근채볶음,비트초절이,S새우크림소스볶음,S식혜,수수밥(63),동태살무국,삼겹살구이,상추겉절이,배추김치,종료,13
49,시작,B약과,B(우유제외)수제바나나두유,B복숭아(천도)-60g,S복숭아(60g),S사과(35g),완두콩밥(55),건새우시금치국,떡갈비간장조림,애호박볶음,배추김치,S고로케,S우유(200ml),완두콩밥(55),동태살무국,삼치무조림,아욱무침,배추김치,종료,13
50,시작,B소고기미역죽,B고구마쉐이크,B복숭아(60g),S사과(35g),S자두(50g),수수밥(55),동태살무국,온두부찜,사과미나리무침,비트초절이,S단호박꿀찜,S보리차,수수밥(55),유부쑥갓맑은국,칠리새우,건취나물간장볶음,배추김치,종료,15
51,시작,B삶은고구마,B두유(100ml),B멜론(50g),S참외(50g),S멜론(50g),찹쌀현미밥(55),동태살국,오리훈제구이,채소샐러드,깍두기,S매실젤리,S오미자아이스크림,찹쌀현미밥(63),아욱우렁된장국,매콤주꾸미볶음,미역줄기채소볶음,비트초절이,종료,15
52,시작,B크래미게살죽,B(우유제외)호두두유,B사과(100g),S참외(50g),S(우유제외)과일화채,쌀밥(40),다진소고기콩나물국,돼지고기양배추볶음,오이토마토샐러드(발사믹드레싱),파김치,S증편(40g),S떠먹는요구르트(100ml),쌀밥(40),버섯부추국,두부톳무침,쑥갓나물,열무물김치,종료,15
53,시작,B치즈머핀,B두유(100ml),B사과(35g),S복숭아(천도)-60g,S사과(100g),밤찹쌀팥밥(55),유부쑥갓맑은국,으깬두부채소전,새우살호박볶음,열무물김치,S으깬견과류고구마샐러드(요거트),S보리차,밤찹쌀팥밥(55),대파감자국,닭날개북어찜,참치양파볶음,얼갈이배추김치,종료,15
54,시작,B김치죽,B고구마쉐이크,B복숭아(80g),S복숭아(황도)-60g,S참외(50g),찹쌀밥(40),쑥갓어묵탕,훈제오리냉채,봄동무침,오이소박이김치,S(우유제외)로제스파게티,S떠먹는요구르트(100ml),찹쌀밥(55),맑은애호박국,두부찜+흑임자소스,배추겉절이,배추김치,종료,14
55,시작,B단호박떡케익,B두유(100ml),B복숭아(60g),S청포도(100g),S멜론(50g),잡곡밥(55),실파장국,돈까스,얼갈이된장나물,나박김치,S샌드위치,S검은깨두유(150ml),잡곡밥(55),대파감자국,탕평채무침,건새우애호박볶음,비트초절이,종료,13
56,시작,B밤죽,B요구르트,B과일샐러드(요거트드레싱),S오렌지(50g),S사과(35g),잡곡밥(63),미니유부우동,닭봉구이,브로콜리숙채,석박지,S스크램블에그(버터),S레몬주스,콩나물밥+양념장,시래기된장국,뱅어포튀김,쑥갓무침,배추김치,종료,15
57,시작,B으깬견과류고구마샐러드(요거트),B두유(100ml),B복숭아(60g),S사과(35g),S멜론(50g),찹쌀보리밥(63),온도토리묵국,오리훈제구이,얼갈이된장나물,석박지,S크림떡볶이,S오미자차,찹쌀보리밥(63),콩가루얼갈이배추국,수제비샐러드,브로콜리무침,깍두기,종료,13
58,시작,B우엉채소볶음밥,B두유(100ml),B멜론(50g),S복숭아(천도)-60g,S멜론(50g),검정콩밥(63),동태살무국,참치어묵조림,배추게맛살샐러드,배추김치,S치즈,S보리차,알리오올리오스파게티,팽이장국,감자그라탕,과일샐러드(요거트드레싱),비트초절이,종료,15
59,시작,B고구마경단,B(우유제외)수제바나나두유,B복숭아(60g),S푸실리샐러드,S복숭아(60g),찰현미밥(55),단호박새우젓국,연두부찜,배무생채,열무물김치,S크림떡볶이,S코코아,찰현미밥(55),차돌얼갈이국,오리훈제구이,맛살양상추샐러드,단배추물김치,종료,14
60,시작,B소고기미역죽,B두유(100ml),B참외(50g),S복숭아(천도)-60g,S멜론(50g),밤콩밥(55),두부새우젓국,채소옥수수튀김,상추겉절이,단배추물김치,S크림떡볶이,S오미자차,밤콩밥(55),팽이장국,참치어묵조림,도토리묵상추무침,배추김치,종료,11
61,시작,B크로와상,B요구르트,B복숭아(60g),S블루베리(50g),S사과(50g),율무밥(55),호박감자수제비국,두부톳무침,미역줄기채소볶음,나박김치,S단팥빵,S우유(200ml),율무밥(55),동태살무국,오리훈제구이,아욱무침,열무물김치,종료,12
62,시작,B양송이크림스프,B(우유제외)수제바나나두유,B복숭아(황도)-60g,B복숭아(황도)-60g,S거봉(100g),율무밥(63),오징어숙주국,애호박생선살찜,동초무침,단배추물김치,S크림빵,S둥글레차,율무밥(63),대파감자국,매콤주꾸미볶음,매쉬드포테이토,열무김치,종료,14
63,시작,B크로와상(30g),B고구마쉐이크,B사과(35g),S복숭아(천도)-60g,S호두,검정콩밥(55),김치양파국,라조기,황태채조림,깍두기,S단호박꿀찜,S검은깨두유(150ml),검정콩밥(55),시금치맑은국,매콤주꾸미볶음,양상추요거트샐러드,석박지,종료,14
64,시작,B꿀떡,B두유(100ml),B복숭아(황도)-60g,S푸실리샐러드,S복숭아(천도)-60g,차조밥(63),다슬기된장국,매콤낙지채소볶음,동초무침,열무물김치,S(우유제외)토마토스파게티,S보리차,차조밥(63),콩가루얼갈이배추국,삼겹살구이,건취나물간장볶음,비트초절이,종료,10
65,시작,B으깬견과류고구마샐러드(요거트),S우유(200ml),B복숭아(60g),S사과(35g),S복숭아(천도)-60g,율무밥(55),실파장국,닭가슴살부추무침,진미채초무침,나박김치,S멸치주먹밥,S둥글레차,율무밥(55),동태맑은국,라조기,애호박건새우볶음,비트초절이,종료,13
66,시작,B당근죽,B복숭아호두스무디,S사과(50g),S참외(50g),S사과(35g),팥밥(63),팽이장국,탕평채무침,감자당근채볶음,열무물김치,S크림떡볶이,S보리차,팥밥(63),유부쑥갓맑은국,감자그라탕,해초볶음,파프리카피클,종료,12
67,시작,B치즈스틱,B요구르트,B멜론(100g),S복숭아(백도)-80g,S참외(100g),기장밥(63),매콤콩나물국,닭다리카레찜,브로콜리무침,비트초절이,S단호박설기,S검은콩두유(150ml),기장밥(63),어묵국,소고기떡조림,양배추볶음,파김치,종료,13
68,시작,B우엉채소볶음밥,B두유(100ml),B멜론(50g),S복숭아(백도)-80g,S사과(50g),팥밥(55),쑥갓어묵국,삼치무조림,해초볶음,나박김치,S고로케,S우유(100ml),팥밥(55),쑥갓어묵탕,탕평채무침,무미역생채,배추김치,종료,12
69,시작,B노란시루떡,B고구마쉐이크,B복숭아(천도)-60g,S사과(35g),S멜론(50g),찹쌀현미밥(55),동태살무국,오리훈제구이,미역줄기채소볶음,비트초절이,S채소찐빵,S오미자아이스크림,찹쌀현미밥(55),애호박맑은국,맛살무침,애호박건새우볶음,배추김치,종료,15
70,시작,B냉콩국+소면,B요구르트,B당근스틱,S아몬드,S사과(35g),흑미밥(55),돼지사골국,양파어묵전,곤약김치무침,나박김치,S떡볶이,S오미자차,흑미밥(55),두부감자국,주꾸미숙회,얼갈이나물,비트초절이,종료,15
71,시작,B(우유제외)당근크림스프,B고구마쉐이크,B복숭아(60g),S참외(50g),S블루베리(50g),밤콩밥(63),조갯살된장찌개,주꾸미숙회,파래무침,열무김치,S멸치주먹밥,S둥글레차,밤콩밥(63),애호박새우젓국,옥수수채소튀김,해초볶음,열무물김치,종료,15
72,시작,B고구마경단,B두유(100ml),B멜론(50g),S블루베리(50g),S사과(35g),소고기하이라이스,유부쑥갓맑은국,크래미채소샐러드,애호박새우젓볶음,비트초절이,S매실젤리,S매실쥬스,흑미밥(63),매콤애호박국,청경채불고기,동초무침,콜라비나박김치,종료,15
73,시작,B소고기타락죽,B요구르트,B복숭아(60g),S사과(35g),B수박(100g),완두콩밥(55),실파장국,훈제오리냉채,건새우애호박볶음,깍두기,S멸치주먹밥,S매실쥬스,완두콩밥(55),모듬버섯찌개,차돌숙주볶음,감자조림,석박지,종료,14
74,시작,B닭백숙,B(우유제외)바나나쉐이크,B복숭아(60g),S복숭아(황도)-80g,S멜론(50g),찹쌀밥(40),동태살국,새우살볶음,브로콜리무침,열무김치,S으깬견과류고구마샐러드(요거트),S보리차,찹쌀밥(40),차돌얼갈이국,감자부추전,애호박볶음,단배추물김치,종료,14
75,시작,B모카빵,B토마토쉐이크,B멜론(50g),S견과류,S참외샐러드,수수밥(63),감자호박국,라조기,깻잎순멸치볶음,열무물김치,S떡볶이,S보리차,수수밥(63),닭고기채소찌개,훈제오리단호박찜,실곤약간장채소무침,비트초절이,종료,15
76,시작,B으깬견과류고구마샐러드(요거트),B복숭아호두스무디,B참외(50g),S사과(35g),S멜론(50g),잡곡밥(55),쑥갓어묵탕,수제비샐러드,얼갈이된장나물,배추김치,S닭가슴살채소죽,S둥글레차,잡곡밥(55),북어달걀국,닭다리카레찜,해초볶음,나박김치,종료,15
77,시작,B브로콜리소고기죽,B검은콩두유(100ml),B멜론(50g),S사과(35g),S복숭아(황도)-80g,수수밥(55),얼갈이맑은국,소고기채소조림,청경채된장무침,파김치,S샌드위치,S코코아,찰현미밥(63),양파오징어국,삼치유자청구이,진미채초무침,나박김치,종료,12
78,시작,B단팥도너츠,B검은깨두유(100ml),B사과(50g),S복숭아(황도)-80g,S아몬드,찹쌀팥밥(55),미역미소장국,삼겹살구이,참나물간장무침,나박김치,S우동,S요구르트,오리훈제볶음밥,맑은애호박국,애호박생선살찜,동초무침,동치미,종료,15
79,시작,B참치가지볶음밥,B호두우유,B참외(50g),S복숭아(60g),S멜론(50g),기장밥(55),모듬버섯찌개,소면채소무침,오이생채,단배추물김치,S떡볶이,S보리차,기장밥(55),청경채맑은국,애호박생선살찜,다시마북어볶음,열무물김치,종료,13
80,시작,B수제비,B(우유제외)수제바나나두유,B멜론(50g),S사과(35g),S멜론(50g),완두콩밥(55),쑥국,삼겹살구이,무몰무침,나박김치,S증편(40g),S보리차,고구마밥(55),동태살무국,새우살크림소스볶음,실곤약간장채소무침,비트초절이,종료,13
81,시작,B으깬견과류고구마샐러드(요거트),B바나나쉐이크,S사과(35g),S복숭아(60g),S참외(50g),기장밥(55),유부쑥갓맑은국,삼겹살구이,맛살양상추샐러드,오이소박이김치,S단팥빵,S우유(200ml),기장밥(55),동태살무국,참치어묵조림,사과미나리무침,열무물김치,종료,13
82,시작,B삶은달걀(30g),B고구마쉐이크,B당근스틱,S바나나(100g),S멜론(100g),현미밥(55),유부쑥갓맑은국,삼겹살구이,상추쌈,열무물김치,S(우유제외)웨지감자구이,S보리차,현미밥(63),애호박맑은국,채소옥수수튀김,브로콜리무침,석박지,종료,13
83,시작,B새우튀김,B떠먹는요구르트(100ml),B복숭아(60g),S참외(50g),S복숭아(60g),밤콩밥(55),콩가루얼갈이배추국,옥수수치즈전,옥수수버터구이,나박김치,S치즈,S(우유제외)고구마쉐이크,밤콩밥(55),감자된장국,매콤낙지채소볶음,감자당근채볶음,비트초절이,종료,14
84,시작,B온도토리묵밥,B요구르트,B참외(100g),S멜론(100g),S멜론(50g),오징어채소덮밥,미니유부우동,새우버터구이,채소샐러드,비트초절이,S으깬견과류고구마샐러드(요거트),S보리차,밤찹쌀팥밥(55),만두국(가공만두),삼치무조림,모듬쌈,열무물김치,종료,14
85,시작,B치즈스틱,B검은콩두유(150ml),B복숭아(80g),S포도(100g),S(우유제외)과일화채,잡곡밥(63),찹쌀옹심이국,닭가슴살부추무침,마카로니오이샐러드,총각김치,S단호박구이,S보리차,잡곡밥(63),꼬막된장찌개,닭봉조림,우엉채조림,비트초절이,종료,12
86,시작,B당근죽,B두유(100ml),B사과(75g),S복숭아(천도)-60g,S자두(50g),참나물유부초밥,안매운김치국,닭가슴살고구마볶음,건새우애호박볶음,비트초절이,S크림떡볶이,S둥글레차,흑미밥(63),매콤애호박국,삼치무조림,건취나물간장볶음,오이소박이김치,종료,12
87,시작,B달걀당근죽,B검은깨두유(150ml),B블루베리고구마샐러드,S복숭아(60g),S참외(50g),쌀밥(40),동태살국,메추리알피망볶음,애호박볶음,석박지,S연두부샐러드(오리엔탈드레싱),S매실쥬스,쌀밥(40),해물탕,옥수수채소튀김,진미채초무침,배추김치,종료,13
88,시작,B으깬견과류고구마샐러드(요거트),B우유(100ml),B청포도(100g),S복숭아(60g),S사과(35g),수수밥(63),감자미역국,훈제오리냉채,건새우애호박볶음,오이소박이김치,S멸치주먹밥,S보리차,수수밥(63),소고기숙주국,매콤낙지채소볶음,브로콜리무침,배추김치,종료,15
89,시작,B소고기미역죽,B(우유제외)수제바나나두유,B참외(50g),S복숭아(천도)-60g,S사과(35g),밤찹쌀팥밥(55),실파맑은국,소고기당면불고기,오이생채,배추김치,S으깬견과류고구마샐러드(요거트),S고칼슘우유(100ml),밤찹쌀팥밥(63),쑥국,소고기떡볶음,매콤숙주미나리무침,비트초절이,종료,12
